QID_ID,QID1_S2,QID1_S3,QID1_S19,QID1_S4,QID1_S5,QID1_S6,QID1_S7,QID1_S9,QID1_S10,QID1_S11,QID1_S12,QID1_S13,QID1_S14,QID1_Ans,QID1_Check,QID1_SituationCheck,QID1_Confidence,QID1_AdjustedCheck,QID2_S2,QID2_S3,QID2_S19,QID2_S4,QID2_S5,QID2_S6,QID2_S7,QID2_S9,QID2_S10,QID2_S11,QID2_S12,QID2_S13,QID2_S14,QID2_Ans,QID2_Check,QID2_SituationCheck,QID2_Confidence,QID2_AdjustedCheck,QID3_S2,QID3_S3,QID3_S19,QID3_S4,QID3_S5,QID3_S6,QID3_S7,QID3_S9,QID3_S10,QID3_S11,QID3_S12,QID3_S13,QID3_S14,QID3_Ans,QID3_Check,QID3_SituationCheck,QID3_Confidence,QID3_AdjustedCheck
805879733,ST,SF,SF,SF,SU,ST,SU,ST,ST,ST,ST,SU,ST,No,Correct,1,SemiConf,Correct,ST,ST,ST,SF,ST,ST,ST,ST,ST,ST,SU,SF,SF,No,Wrong,0.666666667,SemiConf,Correct,ST,ST,ST,ST,SF,SU,ST,ST,ST,ST,SF,SF,ST,Yes,Wrong,0.6,VeryConf,Correct
4964106412,ST,SF,SU,SF,SU,ST,SU,ST,ST,SU,ST,SF,ST,No,Correct,1,VeryConf,Correct,ST,SF,ST,SF,ST,ST,SF,SF,SF,SF,SF,SF,SF,Yes,Correct,1,VeryConf,Correct,ST,SF,SU,ST,SF,ST,SF,SF,SF,SF,SU,SF,ST,Yes,Wrong,0.6,VeryConf,Correct
2721832218,ST,SU,SU,SF,ST,ST,ST,SF,SU,SF,ST,SU,ST,Yes,Wrong,1,SemiConf,Correct,ST,ST,SU,SF,ST,SU,SU,SU,SU,SU,SF,ST,SF,Yes,Correct,0.333333333,GuessConf,Wrong,ST,ST,SU,ST,SF,SU,SU,SU,SU,SU,ST,ST,ST,Yes,Wrong,0.4,SemiConf,Wrong
1567394004,ST,ST,SF,ST,SU,ST,SF,ST,ST,SU,ST,ST,ST,No,Correct,0.8,VeryConf,Correct,ST,ST,SF,ST,ST,SF,SF,SF,SF,ST,ST,SU,ST,Yes,Correct,0.333333333,VeryConf,Wrong,ST,ST,ST,ST,SF,SF,SF,SF,ST,ST,ST,ST,SF,No,Correct,0.6,SemiConf,Correct
4254488803,ST,SF,SF,SF,SU,ST,ST,ST,ST,SF,ST,SF,ST,Yes,Wrong,1,SemiConf,Correct,ST,ST,ST,SF,ST,SF,SF,SF,SF,SF,ST,SF,SU,Yes,Correct,0.666666667,VeryConf,Correct,ST,ST,ST,SU,SF,SF,SF,SF,SF,SF,ST,SU,ST,NMI,NMI,0.4,SemiConf,Wrong
4430804643,ST,SF,SF,SF,ST,ST,SU,ST,ST,ST,ST,SF,ST,No,Correct,1,VeryConf,Correct,ST,SF,ST,SF,ST,SF,SF,SF,SF,SF,SF,SF,SF,Yes,Correct,1,VeryConf,Correct,ST,SF,ST,ST,ST,SF,SF,SF,SF,SF,SF,SF,ST,Yes,Wrong,1,VeryConf,Correct
1275217334,ST,ST,SF,SF,SU,ST,SU,ST,SF,SF,ST,SF,ST,No,Correct,1,VeryConf,Correct,SF,ST,ST,SF,SU,SF,SF,SF,SF,SF,SU,SF,SF,Yes,Correct,0.333333333,VeryConf,Wrong,ST,ST,ST,ST,SF,SF,SF,SF,SU,SF,ST,SF,ST,Yes,Wrong,0.6,VeryConf,Correct
2671185993,ST,SF,SF,SF,SF,ST,SU,ST,SU,SU,ST,SF,ST,No,Correct,1,SemiConf,Correct,SU,SU,ST,SF,ST,SF,SF,SF,ST,SF,ST,SF,SF,No,Wrong,0.333333333,SemiConf,Wrong,SU,SF,ST,ST,ST,SF,SF,SF,ST,SU,ST,SF,SF,No,Correct,0.8,SemiConf,Correct
4715199680,ST,SU,ST,SF,ST,ST,ST,SF,ST,SF,ST,SF,ST,No,Correct,1,SemiConf,Correct,ST,SF,ST,SU,ST,ST,SU,ST,ST,ST,ST,SU,ST,No,Wrong,1,SemiConf,Correct,ST,SF,ST,ST,SF,ST,ST,SU,SF,SF,ST,ST,ST,Yes,Wrong,0.8,SemiConf,Correct
9253547587,ST,SF,SF,SU,SU,ST,SF,ST,ST,ST,ST,SF,ST,No,Correct,1,VeryConf,Correct,ST,ST,ST,SF,ST,SF,SF,SF,SF,SU,ST,SF,SF,Yes,Correct,0.666666667,VeryConf,Correct,ST,SF,SU,ST,SU,SF,SF,SF,SF,SF,ST,SF,ST,Yes,Wrong,0.6,SemiConf,Correct
