Session,Group,ID,QType,QID,Time,Answer,Sentence,Confidence
1,1,4689,GPL,1,9,Correct,Wrong,Very
1,1,2286,GPL,1,12,Correct,Wrong,Guess
1,1,6127,GPL,1,8,Correct,Wrong,Guess
1,1,8861,GPL,1,39,Correct,Wrong,Semi
1,1,9261,GPL,1,104,Correct,Wrong,Semi
1,1,4087,GPL,1,94,Wrong,Wrong,Semi
1,1,8203,GPL,1,63,Correct,Wrong,Semi
1,1,5499,GPL,1,20,Wrong,Wrong,Guess
1,1,7116,GPL,1,13,Wrong,Wrong,Very
1,1,2640,GPL,1,10,Correct,Wrong,Very
1,1,3296,GPL,1,27,Wrong,Wrong,Very
1,1,5114,GPL,1,10,Wrong,Wrong,Very
1,1,7662,GPL,1,173,Correct,Wrong,Semi
1,1,4777,GPL,1,155,Correct,Wrong,Semi
1,1,4177,GPL,1,9,Correct,Wrong,Semi
1,1,6911,GPL,1,160,Correct,Wrong,Very
1,1,1154,GPL,1,14,Wrong,Wrong,Semi
1,1,7224,GPL,1,9,Correct,Wrong,Very
1,1,4689,GPL,2,14,Correct,Correct,Very
1,1,2286,GPL,2,9,Correct,Correct,Guess
1,1,6127,GPL,2,20,Wrong,Wrong,Semi
1,1,8861,GPL,2,6,Correct,Correct,Very
1,1,9261,GPL,2,12,Correct,Correct,Very
1,1,4087,GPL,2,68,Correct,Correct,Semi
1,1,8203,GPL,2,16,Correct,Correct,Very
1,1,5499,GPL,2,12,Wrong,Wrong,Semi
1,1,7116,GPL,2,11,Wrong,Wrong,Semi
1,1,2640,GPL,2,10,Correct,Correct,Very
1,1,3296,GPL,2,8,Correct,Wrong,Semi
1,1,5114,GPL,2,10,Correct,Correct,Very
1,1,7662,GPL,2,34,Correct,Correct,Very
1,1,4777,GPL,2,21,Correct,Correct,Very
1,1,4177,GPL,2,23,Correct,Correct,Semi
1,1,6911,GPL,2,30,Correct,Correct,Very
1,1,1154,GPL,2,12,Correct,Correct,Very
1,1,7224,GPL,2,8,Correct,Correct,Semi
1,2,1709,GPL,1,60,Wrong,Wrong,Semi
1,2,6850,GPL,1,73,NMI,Wrong,Guess
1,2,6671,GPL,1,8,Correct,Wrong,Very
1,2,6548,GPL,1,139,Correct,Wrong,Very
1,2,2178,GPL,1,,,,
1,2,4830,GPL,1,12,Correct,Wrong,Semi
1,2,2793,GPL,1,31,Correct,Wrong,Semi
1,2,6739,GPL,1,95,Correct,Wrong,Semi
1,2,8725,GPL,1,95,NMI,Correct,Very
1,2,5640,GPL,1,14,Correct,Wrong,Semi
1,2,9960,GPL,1,47,Correct,Wrong,Semi
1,2,9485,GPL,1,13,Wrong,Wrong,Semi
1,2,4481,GPL,1,12,Correct,Correct,Semi
1,2,8141,GPL,1,20,Correct,Wrong,Semi
1,2,5387,GPL,1,77,Correct,Correct,Semi
1,2,9141,GPL,1,37,Correct,Wrong,Very
1,2,6322,GPL,1,66,Correct,Wrong,Semi
1,2,7945,GPL,1,7,Correct,Correct,Very
1,2,1709,GPL,2,66,NMI,Wrong,Semi
1,2,6850,GPL,2,15,Correct,Wrong,Guess
1,2,6671,GPL,2,10,Correct,Correct,Very
1,2,6548,GPL,2,9,Correct,Correct,Very
1,2,2178,GPL,2,,,,
1,2,4830,GPL,2,28,Correct,Correct,Semi
1,2,2793,GPL,2,60,Correct,Wrong,Semi
1,2,6739,GPL,2,30,Correct,Correct,Semi
1,2,8725,GPL,2,10,Correct,Correct,Very
1,2,5640,GPL,2,10,Correct,Correct,Very
1,2,9960,GPL,2,18,Correct,Correct,Semi
1,2,9485,GPL,2,15,Wrong,Wrong,Guess
